"Var1","Var2","Freq"
"2015-05-07","jeff",8
"2015-05-14","jeff",18
"2015-05-20","jeff",25
"2015-05-28","jeff",30
"2015-06-04","jeff",27
"2015-06-12","jeff",18
"2015-06-18","jeff",15
"2015-05-07","mel",5
"2015-05-14","mel",18
"2015-05-20","mel",12
"2015-05-28","mel",7
"2015-06-04","mel",22
"2015-06-12","mel",12
"2015-06-18","mel",10
"2015-05-07","mike",22
"2015-05-14","mike",21
"2015-05-20","mike",29
"2015-05-28","mike",34
"2015-06-04","mike",10
"2015-06-12","mike",25
"2015-06-18","mike",11
"2015-05-07","will",10
"2015-05-14","will",11
"2015-05-20","will",23
"2015-05-28","will",24
"2015-06-04","will",18
"2015-06-12","will",11
"2015-06-18","will",12
